State ,4012019,3012020,4012020
Alabama,717163,706626,739950
Alaska,87526,80824,85150
Arizona,769805,790961,993751
Arkansas,347080,337151,381027
California,3623654,4041712,4451007
Colorado,447801,439355,507074
Connecticut,364182,360128,379936
Delaware,128321,114978,126015
District of Columbia,106298,106583,118070
Florida,2765663,2634892,3123525
Georgia,1397447,1320269,1308963
Hawaii,154526,153047,171451
Idaho,146903,148022,152412
Illinois,1737117,1752080,1929163
Indiana,566081,565717,546121
Iowa,317878,287997,323637
Kansas,196818,189527,201869
Kentucky,533922,510411,592538
Louisiana,794152,774468,812957
Maine,155769,153770,173241
Maryland,612581,594828,689530
Massachusetts,752757,813078,1540693
Michigan,1175365,1235969,2085651
Minnesota,405566,391236,426477
Mississippi,443868,421180,456724
Missouri,684676,660628,752315
Montana,107433,105265,104548
Nebraska,162585,153889,165801
Nevada,419347,426527,497313
New Hampshire,76113,72006,77279
New Jersey,695964,667206,690739
New Mexico,444329,447420,481136
New York,2662511,2561187,3354912
North Carolina,1278787,1214762,1187235
North Dakota,48096,48059,51483
Ohio,1385222,1374108,1382485
Oklahoma,565900,569566,612779
Oregon,596165,601101,665156
Pennsylvania,1747214,1732446,1843929
Rhode Island,150288,145411,225202
South Carolina,590881,568652,592738
South Dakota,80939,77302,79148
Tennessee,889691,861061,900106
Texas,3322131,3214013,3632605
Utah,170989,163895,172489
Vermont,68932,69063,72262
Virginia,701304,687984,746608
Washington,818771,797246,960064
West Virginia,302044,303032,317622
Wisconsin,613035,607188,1011159
Wyoming,26025,25735,26795
